tt7335184,You,2018,Crime | Drama | Romance,Penn Badgley | Victoria Pedretti | Ambyr Childers | Elizabeth Lail,NotFound,NotFound,Sera Gamble,,NotFound,NotFound,NotFound," 7,7", 260300 votes
tt15679400,Knock at the Cabin,2023,Horror | Mystery | Thriller,Dave Bautista | Jonathan Groff | Ben Aldridge | Nikki Amuka-Bird,M. Night Shyamalan,Paul Tremblay,NotFound,The Cabin at the End of the World,"$20 000 000
","$34 376 605
","$52 538 605
"," 6,2", 40321 votes
tt0944947,Game of Thrones,20112019,Action | Adventure | Drama,Peter Dinklage | Lena Headey | Emilia Clarke | Kit Harington,NotFound,NotFound,David Benioff,,NotFound,NotFound,NotFound," 9,2", 2132102 votes
tt2403776,Shadow and Bone,2021,Action | Adventure | Drama,Jessie Mei Li | Archie Renaux | Freddy Carter | Amita Suman,NotFound,NotFound,Eric Heisserer,,NotFound,NotFound,NotFound," 7,6", 89896 votes
tt1016150,All Quiet on the Western Front,2022,Action | Drama | War,Felix Kammerer | Albrecht Schuch | Aaron Hilmer | Moritz Klaus,Edward Berger,Edward Berger,NotFound,,NotFound,NotFound,NotFound," 7,8", 155175 votes
tt12593682,Bullet Train,2022,Action | Comedy | Thriller,Brad Pitt | Joey King | Aaron Taylor-Johnson | Brian Tyree Henry,David Leitch,Zak Olkewicz,NotFound,,"$85 900 000
","$103 368 602
","$239 268 602
"," 7,3", 306914 votes
tt13669038,Women Talking,2022,Drama,Rooney Mara | Judith Ivey | Emily Mitchell | Kate Hallett,Sarah Polley,Sarah Polley,NotFound,,NotFound,NotFound,NotFound, 7, 11743 votes
tt6160448,White Noise,2022,Comedy | Drama | Horror,Don Cheadle | Madison Gaughan | Douglas Brodax | Carly Brodax,Noah Baumbach,Noah Baumbach,NotFound,,NotFound,NotFound,NotFound," 5,7", 34776 votes
tt4276618,C.B. Strike,2017,Crime | Drama | Mystery,Tom Burke | Holliday Grainger | Kerr Logan | Jack Greenlees,Susan Tully,Tom Edge,NotFound,,NotFound,NotFound,NotFound," 7,9", 19526 votes
tt11198330,House of the Dragon,2022,Action | Adventure | Drama,Rhys Ifans | Matt Smith | Fabien Frankel | Graham McTavish,NotFound,NotFound,Ryan J. Condal,,NotFound,NotFound,NotFound," 8,5", 313843 votes
tt7817340,New Amsterdam,20182023,Drama,Ryan Eggold | Janet Montgomery | Jocko Sims | Tyler Labine,Michael Slovis,Joshua Carlebach,NotFound,,NotFound,NotFound,NotFound, 8, 43286 votes
tt7335184,You,2018,Crime,Drama,Romance,Penn Badgley,Victoria Pedretti,Ambyr Childers,Elizabeth Lail,NotFound,NotFound,Sera Gamble,,NotFound,NotFound,NotFound," 7,7", 260300 votes
tt15679400,Knock at the Cabin,2023,Horror,Mystery,Thriller,Dave Bautista,Jonathan Groff,Ben Aldridge,Nikki Amuka-Bird,M. Night Shyamalan,Paul Tremblay,NotFound,The Cabin at the End of the World,"$20 000 000
","$34 376 605
","$52 538 605
"," 6,2", 40321 votes
tt0944947,Game of Thrones,20112019,Action,Adventure,Drama,Peter Dinklage,Lena Headey,Emilia Clarke,Kit Harington,NotFound,NotFound,David Benioff,,NotFound,NotFound,NotFound," 9,2", 2132102 votes
tt2403776,Shadow and Bone,2021,Action,Adventure,Drama,Jessie Mei Li,Archie Renaux,Freddy Carter,Amita Suman,NotFound,NotFound,Eric Heisserer,,NotFound,NotFound,NotFound," 7,6", 89896 votes
tt1016150,All Quiet on the Western Front,2022,Action,Drama,War,Felix Kammerer,Albrecht Schuch,Aaron Hilmer,Moritz Klaus,Edward Berger,Edward Berger,NotFound,,NotFound,NotFound,NotFound," 7,8", 155175 votes
tt12593682,Bullet Train,2022,Action,Comedy,Thriller,Brad Pitt,Joey King,Aaron Taylor-Johnson,Brian Tyree Henry,David Leitch,Zak Olkewicz,NotFound,,"$85 900 000
","$103 368 602
","$239 268 602
"," 7,3", 306914 votes
tt7335184,You,2018,Crime,Drama,Romance,Penn Badgley,Victoria Pedretti,Ambyr Childers,Elizabeth Lail,NotFound,NotFound,Sera Gamble,,NotFound,NotFound,NotFound," 7,7", 260300 votes
tt15679400,Knock at the Cabin,2023,Horror,Mystery,Thriller,Dave Bautista,Jonathan Groff,Ben Aldridge,Nikki Amuka-Bird,M. Night Shyamalan,Paul Tremblay,NotFound,The Cabin at the End of the World,"$20 000 000
","$34 376 605
","$52 538 605
"," 6,2", 40321 votes
tt0944947,Game of Thrones,20112019,Action,Adventure,Drama,Peter Dinklage,Lena Headey,Emilia Clarke,Kit Harington,NotFound,NotFound,David Benioff,,NotFound,NotFound,NotFound," 9,2", 2132102 votes
tt2403776,Shadow and Bone,2021,Action,Adventure,Drama,Jessie Mei Li,Archie Renaux,Freddy Carter,Amita Suman,NotFound,NotFound,Eric Heisserer,,NotFound,NotFound,NotFound," 7,6", 89896 votes
tt1016150,All Quiet on the Western Front,2022,Action,Drama,War,Felix Kammerer,Albrecht Schuch,Aaron Hilmer,Moritz Klaus,Edward Berger,Edward Berger,NotFound,,NotFound,NotFound,NotFound," 7,8", 155175 votes
tt12593682,Bullet Train,2022,Action,Comedy,Thriller,Brad Pitt,Joey King,Aaron Taylor-Johnson,Brian Tyree Henry,David Leitch,Zak Olkewicz,NotFound,,"$85 900 000
","$103 368 602
","$239 268 602
"," 7,3", 306914 votes
tt7335184,You,2018,Crime,Drama,Romance,Penn Badgley,Victoria Pedretti,Ambyr Childers,Elizabeth Lail,NotFound,NotFound,Sera Gamble,,NotFound,NotFound,NotFound," 7,7", 260300 votes
tt15679400,Knock at the Cabin,2023,Horror,Mystery,Thriller,Dave Bautista,Jonathan Groff,Ben Aldridge,Nikki Amuka-Bird,M. Night Shyamalan,Paul Tremblay,NotFound,The Cabin at the End of the World,"$20 000 000
","$34 376 605
","$52 538 605
"," 6,2", 40321 votes
tt0944947,Game of Thrones,20112019,Action,Adventure,Drama,Peter Dinklage,Lena Headey,Emilia Clarke,Kit Harington,NotFound,NotFound,David Benioff,,NotFound,NotFound,NotFound," 9,2", 2132102 votes
tt2403776,Shadow and Bone,2021,Action,Adventure,Drama,Jessie Mei Li,Archie Renaux,Freddy Carter,Amita Suman,NotFound,NotFound,Eric Heisserer,,NotFound,NotFound,NotFound," 7,6", 89896 votes
tt1016150,All Quiet on the Western Front,2022,Action,Drama,War,Felix Kammerer,Albrecht Schuch,Aaron Hilmer,Moritz Klaus,Edward Berger,Edward Berger,NotFound,,NotFound,NotFound,NotFound," 7,8", 155175 votes
tt12593682,Bullet Train,2022,Action,Comedy,Thriller,Brad Pitt,Joey King,Aaron Taylor-Johnson,Brian Tyree Henry,David Leitch,Zak Olkewicz,NotFound,,"$85 900 000
","$103 368 602
","$239 268 602
"," 7,3", 306914 votes
tt13669038,Women Talking,2022,Drama,NotFound,NotFound,Rooney Mara,Judith Ivey,Emily Mitchell,Kate Hallett,Sarah Polley,Sarah Polley,NotFound,,NotFound,NotFound,NotFound, 7, 11743 votes
tt6160448,White Noise,2022,Comedy,Drama,Horror,Don Cheadle,Madison Gaughan,Douglas Brodax,Carly Brodax,Noah Baumbach,Noah Baumbach,NotFound,,NotFound,NotFound,NotFound," 5,7", 34776 votes
tt4276618,C.B. Strike,2017,Crime,Drama,Mystery,Tom Burke,Holliday Grainger,Kerr Logan,Jack Greenlees,Susan Tully,Tom Edge,NotFound,,NotFound,NotFound,NotFound," 7,9", 19534 votes
tt11198330,House of the Dragon,2022,Action,Adventure,Drama,Rhys Ifans,Matt Smith,Fabien Frankel,Graham McTavish,NotFound,NotFound,Ryan J. Condal,,NotFound,NotFound,NotFound," 8,5", 313843 votes
